user_id,account,trn_time,trn_amt
1,BH88 WBMZ SIGP 80WP DJSP IA,7/1/2016,$99.03
2,PK39 YBHN PIGE CJ8A 8KQA SBTL,10/30/2016,$685.56
3,PL93 5356 3336 9662 7981 6615 7340,8/28/2016,$189.31
4,FR32 8429 4913 63UV LENN DUO0 Z46,5/26/2016,$898.81
5,SA72 17HJ MKPJ 30PD MVNI YGRB,11/30/2015,$366.08
6,PT30 9746 2727 0300 2779 5542 5,3/11/2016,$945.85
7,SM18 H464 8084 000Z 4ZTZ W8IB UTO,6/30/2016,$949.14
8,PK16 XJPN E5EM J1X6 510D JIWK,7/18/2016,$135.16
9,PS54 JEUL MV1O INP5 LKFH 5MMR X82R L,1/31/2016,$729.51
10,FR37 9220 6852 05ET A060 N7UK M16,6/26/2016,$524.21
11,SI46 7215 4165 9100 410,8/8/2016,$661.11
12,MC26 0145 2670 79ZB AV2N TL6X B17,10/1/2016,$102.47
13,RS19 6783 9195 6335 3009 48,5/6/2016,$637.62
14,NL38 FZGX 4927 8239 15,3/9/2016,$621.65
15,BA17 5701 3291 1122 7292,10/9/2016,$321.69
16,GE91 LL47 7548 5133 6688 86,3/10/2016,$915.23
17,FR79 5445 0753 23VC XWHQ SPTM P26,4/15/2016,$77.56
18,AZ77 GDQQ CAB7 KZZR DBML XBDY CJIN,1/1/2016,$889.35
19,ME13 3552 3746 2670 6633 78,3/11/2016,$324.39
20,FR25 7899 6639 23UQ OGEH YVET X49,4/22/2016,$88.08
21,TN51 0613 2801 8235 2079 5656,1/4/2016,$535.52
22,AE45 4860 0273 1559 2195 803,6/21/2016,$629.01
23,AT15 1033 9283 8227 0288,2/6/2016,$307.97
24,ME81 8614 5922 4413 0182 47,1/2/2016,$633.88
25,FR32 5498 7808 142E OJ00 FUSK F34,7/28/2016,$381.50
26,IL79 0305 9725 6826 1456 046,7/11/2016,$770.43
27,FR43 5285 4724 98OR EPBE EWVD E79,4/28/2016,$871.85
28,TN78 5643 0619 3536 4763 3770,9/14/2016,$485.74
