user_id	account	trn_time	trn_amt
1	MU20 ZDCL 4348 0506 0971 5971 652Q CW	11/18/2015	$214.55
2	FR31 0614 9809 67EP QYRC LMOS G94	2/22/2016	$754.42
3	FR11 6935 3609 57RI 9PT7 D7W8 195	9/29/2016	$95.08
4	DK54 2514 8927 4572 12	2/21/2016	$983.95
5	PK79 KFDW 8MJU DXDP 1WUR UTEG	6/10/2016	$127.43
6	GE57 XY33 5324 2421 6069 99	4/23/2016	$647.99
7	BE17 6360 2829 2081	9/24/2016	$864.78
8	IE98 VNZF 5265 3160 8687 24	1/27/2016	$481.02
9	MT82 EWUF 7394 6UMB JUEX BUZI TDCU 4HF	4/9/2016	$968.43
10	GB14 GBJL 6647 4019 6278 36	12/7/2015	$798.99
11	EE71 9930 2310 3729 8858	4/25/2016	$807.42
12	KW57 LEQH HMTK JD5O KGOW F1RG K69P BO	3/22/2016	$931.62
13	FR56 1011 6891 78US MQ3Y HEB8 D17	8/30/2016	$438.09
14	FI08 6671 1493 3544 54	11/7/2016	$277.48
15	KW29 ACRU VRGK 7EG3 AHMD V4KZ BK0Z YO	7/24/2016	$258.93
16	SE59 0433 6928 4793 8432 6308	7/23/2016	$676.23
17	AZ34 KAPT WFOF MEFX LO2V VVFJ VTL8	3/7/2016	$538.96
18	BE98 6326 0334 5171	6/20/2016	$740.31
19	IL15 3932 9837 3533 8906 185	5/30/2016	$824.57
20	SE25 6251 4892 8236 8492 4797	8/10/2016	$239.76
21	GR60 0934 816U GJHN IRSC DFUB GLO	11/18/2015	$823.93
22	VG25 IXTX 7582 3990 5676 1450	12/8/2015	$794.89
23	SI60 0080 1317 4862 636	9/20/2016	$772.28
24	FR80 8389 1680 90RA 3KC8 DUXE N28	9/21/2016	$723.05
25	GE11 HR59 1623 1936 2970 90	2/22/2016	$229.42
26	AT06 3934 1020 6041 7579	2/17/2016	$342.74
27	MC64 1069 4210 60M9 8MS0 E6AT O61	10/30/2016	$826.80
28	PS97 VMMT HMPH SCMX AHI9 ZLG0 HA7X D	9/26/2016	$120.02
29	TR30 8240 3TD8 ZLFP TOJ2 ZUGJ OA	9/30/2016	$463.91
30	FR41 8774 5138 02CD JZWK REY1 X33	9/27/2016	$205.24
31	MU95 NEPS 8124 5474 4625 1848 888X LQ	12/24/2015	$380.71
32	GR19 1059 800T E4K0 8RPY SWPG OTP	6/9/2016	$383.92
33	BE49 4939 9810 9545	9/16/2016	$738.31
34	TN11 5576 7888 2259 0734 9060	7/28/2016	$271.99
35	IE88 BPMN 7838 8550 4476 41	2/19/2016	$339.24
36	TR85 7842 1XOB QLLV 17LX VCYB F0	12/15/2015	$190.37
37	FR70 4043 5128 972L FXS7 QMFY 167	2/10/2016	$815.62
38	GI19 XVMX FQDB 1JXQ 57Z1 0JC	7/5/2016	$366.76
39	DK72 9841 3196 4260 38	3/21/2016	$97.77
40	IT30 V860 0252 483C DBHX MIER 4KD	11/21/2015	$512.79
41	FR95 2116 2593 29VD 7KP0 IHMZ D15	3/9/2016	$364.66
42	FR68 0823 2973 83WT FGGL HWNU B51	7/27/2016	$690.78
43	SM15 P941 9539 996M OSGJ ZP2V SAF	7/6/2016	$475.44
44	AE30 1495 6641 2861 6554 061	6/28/2016	$132.00
45	PT20 7119 4060 4847 3290 1264 2	4/26/2016	$212.60
46	FI29 7839 1247 7686 01	11/10/2016	$636.94
47	MC87 9282 5229 06SS GJ9N QXER P02	3/16/2016	$801.62
48	DK79 1182 4572 0464 60	12/24/2015	$892.87
49	MU98 TJYV 5092 2342 0590 0776 165T XV	12/25/2015	$725.99
50	FR22 0921 5695 32FG MRXL CVMT U26	7/24/2016	$618.18
51	BA42 2608 7677 0298 3277	12/21/2015	$878.42
52	CR14 2039 8198 2974 8548 6	10/12/2016	$447.06
53	MD21 EZMA ZSEG O3VZ QQQA HCCB	9/2/2016	$602.04
54	LU66 8755 RHPU ARXH 3AO0	9/21/2016	$826.70
55	PL84 2872 5628 5139 6010 5366 7175	6/9/2016	$820.78
56	RO29 NRBN KRAP 29SD 9UHD WPE7	3/28/2016	$377.86
57	FR38 9880 2154 74UR ZYTO TL8R N14	9/1/2016	$656.44
58	AD87 5330 9814 WVZV XBKP URER	1/13/2016	$862.91
59	FR07 9219 8268 67AT T7SX ABLK R66	6/20/2016	$954.43
60	SA21 41UR GKLA FOV2 KXJQ XHVO	5/17/2016	$962.22
61	LT51 8338 1284 1027 8834	5/10/2016	$243.42
62	PS40 SCZS OI7S IHD0 MGOS LHAO PQYT P	2/3/2016	$274.11
63	RO69 LEDS PBXD JNTH FOO2 ZH0H	8/6/2016	$311.73
64	AD13 6831 3930 EAHD IH4M HFPI	5/5/2016	$299.10
65	FR29 8592 8180 59ZP VZTG 8MPO C86	3/2/2016	$660.39
66	SK66 6325 9290 7391 4257 8124	2/9/2016	$694.29
67	FR41 2415 6467 44VV 7LG3 74IP Y54	2/6/2016	$804.88
68	FR13 7066 3334 55TH MTUI 53PX I33	3/9/2016	$213.78
69	LT17 6296 0227 9070 4108	2/21/2016	$523.94
